,year,month,state,sentiment,frequency
0,2012,1,AL,,0.0
1,2012,2,AL,,0.0
2,2012,3,AL,,0.0
3,2012,4,AL,,0.0
4,2012,5,AL,,0.0
5,2012,6,AL,,0.0
6,2012,7,AL,,0.0
7,2012,8,AL,0.15,1.0
8,2012,9,AL,,0.0
9,2012,10,AL,0.20000000000000004,1.0
10,2012,11,AL,,0.0
11,2012,12,AL,-0.049999999999999996,2.0
12,2013,1,AL,,0.0
13,2013,2,AL,0.0,1.0
14,2013,3,AL,,0.0
15,2013,4,AL,-0.03333333333333335,3.0
16,2013,5,AL,-0.09999999999999999,1.0
17,2013,6,AL,,0.0
18,2013,7,AL,,0.0
19,2013,8,AL,,0.0
20,2013,9,AL,,0.0
21,2013,10,AL,-0.05833333333333333,3.0
22,2013,11,AL,0.016666666666666666,2.0
23,2013,12,AL,-0.012499999999999997,2.0
24,2014,1,AL,0.5,1.0
25,2014,2,AL,0.1,1.0
26,2014,3,AL,0.04583333333333334,10.0
27,2014,4,AL,0.1666666666666667,8.0
28,2014,5,AL,-0.0748888888888889,5.0
29,2014,6,AL,0.03901515151515151,6.0
30,2014,7,AL,0.1404166666666667,5.0
31,2014,8,AL,0.041666666666666664,3.0
32,2014,9,AL,-0.16944444444444445,2.0
33,2014,10,AL,0.006904761904761906,7.0
34,2014,11,AL,-0.03333333333333333,5.0
35,2014,12,AL,0.07777777777777775,2.0
36,2015,1,AL,-0.0625,1.0
37,2015,2,AL,0.18333333333333335,3.0
38,2015,3,AL,0.1708333333333333,3.0
39,2015,4,AL,-0.03872053872053872,9.0
40,2015,5,AL,,0.0
41,2015,6,AL,,0.0
42,2015,7,AL,,0.0
43,2015,8,AL,,0.0
44,2015,9,AL,,0.0
45,2015,10,AL,,0.0
46,2015,11,AL,,0.0
47,2015,12,AL,,0.0
48,2016,1,AL,0.0,1.0
49,2016,2,AL,,0.0
50,2016,3,AL,,0.0
51,2016,4,AL,,0.0
52,2016,5,AL,,0.0
53,2016,6,AL,,0.0
54,2016,7,AL,,0.0
55,2016,8,AL,,0.0
56,2016,9,AL,,0.0
57,2016,10,AL,,0.0
58,2016,11,AL,,0.0
59,2016,12,AL,,0.0
60,2017,1,AL,,0.0
61,2017,2,AL,,0.0
62,2017,3,AL,,0.0
63,2017,4,AL,,0.0
64,2017,5,AL,,0.0
65,2017,6,AL,,0.0
66,2017,7,AL,0.030590569561157792,17.0
67,2017,8,AL,0.0693514384920635,16.0
68,2017,9,AL,-0.05227411477411477,26.0
69,2017,10,AL,0.02899305555555555,12.0
70,2017,11,AL,0.0775108225108225,10.0
71,2017,12,AL,-0.09375,7.0
72,2018,1,AL,0.05844444444444445,5.0
73,2018,2,AL,-0.0312962962962963,9.0
74,2018,3,AL,0.14192386831275725,27.0
75,2018,4,AL,-0.09344729344729347,13.0
76,2018,5,AL,-0.06276064213564213,15.0
77,2018,6,AL,-0.2937570145903479,9.0
78,2018,7,AL,-0.04415584415584416,13.0
79,2018,8,AL,-0.020999999999999998,5.0
80,2018,9,AL,0.07281481481481482,5.0
81,2018,10,AL,-0.4335648148148148,3.0
82,2018,11,AL,,0.0
83,2018,12,AL,,0.0
84,2019,1,AL,,0.0
85,2019,2,AL,,0.0
86,2019,3,AL,,0.0
87,2019,4,AL,,0.0
88,2019,5,AL,,0.0
89,2019,6,AL,0.06666666666666667,2.0
90,2019,7,AL,0.0,1.0
91,2019,8,AL,,0.0
92,2019,9,AL,,0.0
93,2019,10,AL,,0.0
94,2019,11,AL,,0.0
95,2019,12,AL,,0.0
96,2020,1,AL,,0.0
97,2012,1,AK,,0.0
98,2012,2,AK,,0.0
99,2012,3,AK,,0.0
100,2012,4,AK,,0.0
101,2012,5,AK,,0.0
102,2012,6,AK,,0.0
103,2012,7,AK,,0.0
104,2012,8,AK,,0.0
105,2012,9,AK,,0.0
106,2012,10,AK,,0.0
107,2012,11,AK,,0.0
108,2012,12,AK,,0.0
109,2013,1,AK,,0.0
110,2013,2,AK,,0.0
111,2013,3,AK,,0.0
112,2013,4,AK,,0.0
113,2013,5,AK,,0.0
114,2013,6,AK,,0.0
115,2013,7,AK,,0.0
116,2013,8,AK,,0.0
117,2013,9,AK,,0.0
118,2013,10,AK,,0.0
119,2013,11,AK,,0.0
120,2013,12,AK,,0.0
121,2014,1,AK,,0.0
