,sentiment
2012-01-01,
2012-01-02,
2012-01-03,
2012-01-04,
2012-01-05,
2012-01-06,0.18333333333333335
2012-01-07,0.0
2012-01-08,
2012-01-09,
2012-01-10,
2012-01-11,
2012-01-12,
2012-01-13,
2012-01-14,
2012-01-15,
2012-01-16,
2012-01-17,
2012-01-18,
2012-01-19,
2012-01-20,
2012-01-21,0.0
2012-01-22,
2012-01-23,
2012-01-24,
2012-01-25,
2012-01-26,
2012-01-27,
2012-01-28,0.0
2012-01-29,
2012-01-30,
2012-01-31,
2012-02-01,
2012-02-02,
2012-02-03,
2012-02-04,
2012-02-05,
2012-02-06,
2012-02-07,
2012-02-08,0.30000000000000004
2012-02-09,
2012-02-10,
2012-02-11,
2012-02-12,
2012-02-13,
2012-02-14,
2012-02-15,
2012-02-16,
2012-02-17,0.06666666666666667
2012-02-18,
2012-02-19,
2012-02-20,
2012-02-21,
2012-02-22,
2012-02-23,
2012-02-24,
2012-02-25,0.0
2012-02-26,
2012-02-27,
2012-02-28,
2012-02-29,
2012-03-01,
2012-03-02,
2012-03-03,
2012-03-04,
2012-03-05,
2012-03-06,
2012-03-07,0.0
2012-03-08,0.8
2012-03-09,
2012-03-10,
2012-03-11,
2012-03-12,
2012-03-13,
2012-03-14,
2012-03-15,0.0
2012-03-16,0.0
2012-03-17,
2012-03-18,-0.05833333333333333
2012-03-19,0.3
2012-03-20,
2012-03-21,
2012-03-22,0.4
2012-03-23,
2012-03-24,0.8
2012-03-25,
2012-03-26,
2012-03-27,-0.125
2012-03-28,-0.26666666666666666
2012-03-29,0.21777777777777776
2012-03-30,0.0
2012-03-31,
2012-04-01,
2012-04-02,
2012-04-03,
2012-04-04,0.6666666666666666
2012-04-05,
2012-04-06,
2012-04-07,
2012-04-08,
2012-04-09,
2012-04-10,
2012-04-11,0.1875
2012-04-12,
2012-04-13,0.18125
2012-04-14,
2012-04-15,
2012-04-16,
2012-04-17,
2012-04-18,0.0
2012-04-19,
2012-04-20,-0.07098765432098768
2012-04-21,-0.26666666666666666
2012-04-22,
2012-04-23,
2012-04-24,
2012-04-25,0.0
2012-04-26,0.25
2012-04-27,0.16666666666666666
2012-04-28,
2012-04-29,0.06111111111111108
2012-04-30,
2012-05-01,-0.0390625
2012-05-02,0.18704545454545454
2012-05-03,
2012-05-04,
2012-05-05,
2012-05-06,0.20090909090909093
2012-05-07,
2012-05-08,0.23125
2012-05-09,
2012-05-10,0.0
2012-05-11,
2012-05-12,
2012-05-13,
2012-05-14,
2012-05-15,
2012-05-16,0.8
2012-05-17,0.0
2012-05-18,0.6000000000000001
2012-05-19,0.0
2012-05-20,
2012-05-21,
2012-05-22,0.0
2012-05-23,0.0
2012-05-24,
2012-05-25,0.3333333333333333
2012-05-26,-0.006249999999999999
2012-05-27,0.125
2012-05-28,
2012-05-29,
2012-05-30,
2012-05-31,0.0
2012-06-01,0.11145833333333333
2012-06-02,0.0
2012-06-03,0.196875
2012-06-04,
2012-06-05,0.12878787878787878
2012-06-06,0.22159932659932657
2012-06-07,0.09291666666666666
2012-06-08,
2012-06-09,0.09999999999999999
2012-06-10,0.2
2012-06-11,-0.03240740740740741
2012-06-12,0.05
2012-06-13,0.2041666666666667
2012-06-14,-0.0625
2012-06-15,0.19583333333333333
2012-06-16,0.12916666666666668
2012-06-17,-0.03569444444444444
2012-06-18,
2012-06-19,0.16666666666666666
2012-06-20,
2012-06-21,-0.1553030303030303
2012-06-22,
2012-06-23,0.18916666666666668
2012-06-24,
2012-06-25,
2012-06-26,
2012-06-27,0.03333333333333333
2012-06-28,0.0
2012-06-29,0.13636363636363635
2012-06-30,
2012-07-01,
2012-07-02,
2012-07-03,
2012-07-04,
2012-07-05,
2012-07-06,
2012-07-07,-0.2916666666666667
2012-07-08,0.1
2012-07-09,
2012-07-10,
2012-07-11,
2012-07-12,0.20439814814814816
2012-07-13,0.19999999999999998
2012-07-14,
2012-07-15,
2012-07-16,
2012-07-17,-0.06527777777777777
2012-07-18,-0.0478395061728395
2012-07-19,
2012-07-20,0.0
2012-07-21,0.35
2012-07-22,0.1875
2012-07-23,0.25
2012-07-24,0.0
2012-07-25,
2012-07-26,0.25
2012-07-27,0.275
2012-07-28,0.0
2012-07-29,-0.04999999999999999
2012-07-30,0.0
2012-07-31,
2012-08-01,0.0
2012-08-02,0.0
2012-08-03,
2012-08-04,
2012-08-05,
2012-08-06,
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,
2012-08-11,
2012-08-12,
2012-08-13,
2012-08-14,0.080625
2012-08-15,
2012-08-16,
2012-08-17,
2012-08-18,0.4
2012-08-19,0.0
2012-08-20,0.0
2012-08-21,0.5
2012-08-22,0.0903409090909091
2012-08-23,0.6
2012-08-24,
2012-08-25,
2012-08-26,
2012-08-27,
2012-08-28,0.444140625
2012-08-29,0.049999999999999996
2012-08-30,0.19318181818181818
2012-08-31,
2012-09-01,0.0
2012-09-02,
2012-09-03,
2012-09-04,
2012-09-05,0.0625
2012-09-06,0.05555555555555555
2012-09-07,
2012-09-08,1.0
2012-09-09,-0.3375
2012-09-10,0.38055555555555554
2012-09-11,
2012-09-12,
2012-09-13,0.0625
2012-09-14,0.0
2012-09-15,
2012-09-16,
2012-09-17,
2012-09-18,
2012-09-19,0.0625
2012-09-20,
2012-09-21,0.35
2012-09-22,0.11666666666666665
2012-09-23,0.08333333333333333
2012-09-24,
2012-09-25,
2012-09-26,-0.3
2012-09-27,0.0041666666666666675
2012-09-28,-0.0051948051948051965
2012-09-29,
2012-09-30,
2012-10-01,
2012-10-02,0.0
2012-10-03,0.04261363636363636
2012-10-04,0.75
2012-10-05,0.1601851851851852
2012-10-06,0.1
2012-10-07,
2012-10-08,
2012-10-09,0.09999999999999999
2012-10-10,0.20000000000000004
2012-10-11,
2012-10-12,0.1558441558441558
2012-10-13,0.041666666666666664
2012-10-14,
2012-10-15,
2012-10-16,
2012-10-17,0.5361111111111111
2012-10-18,0.04
2012-10-19,0.022727272727272724
2012-10-20,
2012-10-21,
2012-10-22,
2012-10-23,0.05
2012-10-24,
2012-10-25,0.02500000000000001
2012-10-26,0.1
2012-10-27,0.05
2012-10-28,
2012-10-29,0.1
2012-10-30,
2012-10-31,
2012-11-01,0.0
2012-11-02,
2012-11-03,-0.06666666666666667
2012-11-04,0.0875
2012-11-05,
2012-11-06,
2012-11-07,
2012-11-08,0.0
2012-11-09,0.05
2012-11-10,0.3333333333333333
2012-11-11,0.25
2012-11-12,
2012-11-13,0.4083333333333333
2012-11-14,
2012-11-15,0.0
2012-11-16,0.0
2012-11-17,0.2975308641975309
2012-11-18,0.1944940476190476
2012-11-19,
2012-11-20,0.0
2012-11-21,0.0
2012-11-22,0.08333333333333333
2012-11-23,
2012-11-24,
2012-11-25,
2012-11-26,
2012-11-27,
2012-11-28,0.8
2012-11-29,
2012-11-30,0.03713541666666667
2012-12-01,0.340625
2012-12-02,0.061111111111111116
2012-12-03,0.05407196969696969
2012-12-04,0.0
2012-12-05,0.044444444444444446
2012-12-06,0.013333333333333334
2012-12-07,-0.16666666666666666
2012-12-08,0.02130681818181818
2012-12-09,-0.04999999999999998
2012-12-10,0.25
2012-12-11,-0.04999999999999999
2012-12-12,0.0
2012-12-13,0.0
2012-12-14,
2012-12-15,0.0
2012-12-16,
2012-12-17,
2012-12-18,0.125
2012-12-19,
2012-12-20,-0.011666666666666665
2012-12-21,0.15
2012-12-22,0.0
2012-12-23,
2012-12-24,
2012-12-25,0.0
2012-12-26,
2012-12-27,
2012-12-28,0.1
2012-12-29,
2012-12-30,
2012-12-31,0.15
2013-01-01,0.16666666666666666
2013-01-02,
2013-01-03,
2013-01-04,0.0
2013-01-05,-0.024999999999999994
2013-01-06,0.0
2013-01-07,
2013-01-08,0.0
2013-01-09,0.2875
2013-01-10,
2013-01-11,
2013-01-12,
2013-01-13,0.30625
2013-01-14,0.0
2013-01-15,
2013-01-16,0.13333333333333333
2013-01-17,0.12556818181818183
2013-01-18,0.12453703703703704
2013-01-19,0.38541666666666663
2013-01-20,0.0
2013-01-21,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,-0.05
2013-01-26,
2013-01-27,
2013-01-28,
2013-01-29,0.20052083333333331
2013-01-30,0.0
2013-01-31,
2013-02-01,-0.09999999999999999
2013-02-02,0.0
2013-02-03,
2013-02-04,
2013-02-05,0.175
2013-02-06,
2013-02-07,-0.049999999999999996
2013-02-08,-0.016666666666666663
2013-02-09,-0.024999999999999998
2013-02-10,
2013-02-11,
2013-02-12,
2013-02-13,-0.03333333333333333
2013-02-14,0.16666666666666666
2013-02-15,
2013-02-16,
2013-02-17,
2013-02-18,
2013-02-19,
2013-02-20,
2013-02-21,0.0
2013-02-22,
2013-02-23,
2013-02-24,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,-0.0074074074074074086
2013-03-01,
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,-0.125
2013-03-06,
2013-03-07,0.0
2013-03-08,0.06666666666666667
2013-03-09,0.0
2013-03-10,0.375
2013-03-11,
2013-03-12,0.0
2013-03-13,-0.03333333333333333
2013-03-14,0.016666666666666666
2013-03-15,-0.25
2013-03-16,-0.15833333333333333
2013-03-17,
2013-03-18,0.0
2013-03-19,
2013-03-20,0.26666666666666666
2013-03-21,
2013-03-22,0.0
2013-03-23,0.125
2013-03-24,0.375
2013-03-25,0.13958333333333334
2013-03-26,0.15000000000000002
2013-03-27,
2013-03-28,0.19010416666666669
2013-03-29,-0.017187499999999998
2013-03-30,
2013-03-31,0.029166666666666664
2013-04-01,
2013-04-02,0.0
2013-04-03,
2013-04-04,-0.15000000000000002
2013-04-05,0.0
2013-04-06,
2013-04-07,
2013-04-08,
2013-04-09,0.0
2013-04-10,0.006385281385281391
2013-04-11,0.15
2013-04-12,0.0
2013-04-13,
2013-04-14,-0.173
2013-04-15,-0.05625000000000001
2013-04-16,
2013-04-17,0.2833333333333333
2013-04-18,-0.075
2013-04-19,0.3125
2013-04-20,0.09922274695001967
2013-04-21,0.0
2013-04-22,0.008333333333333337
2013-04-23,-0.02222222222222222
2013-04-24,0.25
2013-04-25,0.0
2013-04-26,-0.11666666666666667
2013-04-27,0.08680555555555554
