,sentiment
2012-01,0.045833333
2012-02,0.122222222
2012-03,0.077690058
2012-04,0.163556134
2012-05,0.146249426
2012-06,0.09259029
2012-07,0.099850657
2012-08,0.146069681
2012-09,0.07105772
2012-10,0.129290645
2012-11,0.183171737
2012-12,0.030361427
2013-01,0.106898953
2013-02,0.001143791
2013-03,0.046567235
2013-04,0.039788065
2013-05,0.060903993
2013-06,0.058072917
2013-07,0.092309348
2013-08,0.051169224
2013-09,0.051833195
2013-10,0.057484001
2013-11,0.042457991
2013-12,0.054754997
2014-01,0.077395595
2014-02,0.061848941
2014-03,0.069810466
2014-04,0.031182238
2014-05,0.021011371
2014-06,0.057653603
2014-07,0.06593318
2014-08,0.052106594
2014-09,0.009416606
2014-10,0.047065006
2014-11,0.048867937
2014-12,0.092386598
2015-01,0.047654285
2015-02,0.078026059
2015-03,0.048360391
2015-04,0.030004681
2015-05,0.030957431
2015-06,0.085013298
2015-07,-0.06235119
2015-08,0.153535354
2015-09,0.060175439
2015-10,0.051909722
2015-11,0.027469136
2015-12,0.169545455
2016-01,0.088383838
2016-02,0.051004464
2016-03,0.166
2016-04,0.041666667
2016-05,0
2016-06,-0.05
2016-09,-0.083333333
2016-10,0
2016-11,-0.227893519
2016-12,-0.2
2017-01,0
2017-03,-0.266666667
2017-04,-0.133333333
2017-07,0.010222097
2017-08,-0.008949058
2017-09,0.015696792
2017-10,-0.009197477
2017-11,0.006961726
2017-12,0.008933181
2018-01,0.004964633
2018-02,0.02412279
2018-03,0.022685904
2018-04,0.016430678
2018-05,0.025084142
2018-06,0.041491734
2018-07,0.045100337
2018-08,0.064050629
2018-09,0.056646395
2018-10,0.034908862
2018-11,0
2019-01,0
2019-03,0.008333333
2019-04,0
2019-06,0.027832542
2019-07,-0.00163998
