,year,month,state,sentiment,frequency
0,2012,1,AL,,0.0
1,2012,2,AL,,0.0
2,2012,3,AL,,0.0
3,2012,4,AL,,0.0
4,2012,5,AL,,0.0
5,2012,6,AL,,0.0
6,2012,7,AL,,0.0
7,2012,8,AL,,0.0
8,2012,9,AL,,0.0
9,2012,10,AL,,0.0
10,2012,11,AL,,0.0
11,2012,12,AL,,0.0
12,2013,1,AL,,0.0
13,2013,2,AL,,0.0
14,2013,3,AL,,0.0
15,2013,4,AL,,0.0
16,2013,5,AL,,0.0
17,2013,6,AL,,0.0
18,2013,7,AL,,0.0
19,2013,8,AL,,0.0
20,2013,9,AL,,0.0
21,2013,10,AL,,0.0
22,2013,11,AL,,0.0
23,2013,12,AL,,0.0
24,2014,1,AL,,0.0
25,2014,2,AL,,0.0
26,2014,3,AL,,0.0
27,2014,4,AL,,0.0
28,2014,5,AL,,0.0
29,2014,6,AL,,0.0
30,2014,7,AL,,0.0
31,2014,8,AL,,0.0
32,2014,9,AL,,0.0
33,2014,10,AL,,0.0
34,2014,11,AL,,0.0
35,2014,12,AL,,0.0
36,2015,1,AL,0.0,1.0
37,2015,2,AL,,0.0
38,2015,3,AL,,0.0
39,2015,4,AL,,0.0
40,2015,5,AL,,0.0
41,2015,6,AL,,0.0
42,2015,7,AL,,0.0
43,2015,8,AL,0.0,1.0
44,2015,9,AL,,0.0
45,2015,10,AL,,0.0
46,2015,11,AL,,0.0
47,2015,12,AL,,0.0
48,2016,1,AL,,0.0
49,2016,2,AL,,0.0
50,2016,3,AL,,0.0
51,2016,4,AL,,0.0
52,2016,5,AL,,0.0
53,2016,6,AL,,0.0
54,2016,7,AL,,0.0
55,2016,8,AL,,0.0
56,2016,9,AL,,0.0
57,2016,10,AL,,0.0
58,2016,11,AL,,0.0
59,2016,12,AL,,0.0
60,2017,1,AL,,0.0
61,2017,2,AL,,0.0
62,2017,3,AL,,0.0
63,2017,4,AL,,0.0
64,2017,5,AL,,0.0
65,2017,6,AL,,0.0
66,2017,7,AL,0.006349206349206349,63.0
67,2017,8,AL,0.12527417027417023,21.0
68,2017,9,AL,0.0,1.0
69,2017,10,AL,0.0,1.0
70,2017,11,AL,0.0,1.0
71,2017,12,AL,0.11392045454545455,2.0
72,2018,1,AL,0.1366666666666667,3.0
73,2018,2,AL,0.18271728271728271,13.0
74,2018,3,AL,0.1348484848484848,11.0
75,2018,4,AL,0.1259469696969697,4.0
76,2018,5,AL,,0.0
77,2018,6,AL,0.08306818181818182,11.0
78,2018,7,AL,0.0,2.0
79,2018,8,AL,0.025,1.0
80,2018,9,AL,0.15980519480519478,4.0
81,2018,10,AL,0.1674005681818182,8.0
82,2018,11,AL,,0.0
83,2018,12,AL,,0.0
84,2019,1,AL,,0.0
85,2019,2,AL,,0.0
86,2019,3,AL,,0.0
87,2019,4,AL,,0.0
88,2019,5,AL,,0.0
89,2019,6,AL,0.32724631734006737,5.0
90,2019,7,AL,0.12505681818181819,5.0
91,2019,8,AL,,0.0
92,2019,9,AL,,0.0
93,2019,10,AL,,0.0
94,2019,11,AL,,0.0
95,2019,12,AL,,0.0
96,2020,1,AL,,0.0
97,2012,1,AK,,0.0
98,2012,2,AK,,0.0
99,2012,3,AK,,0.0
100,2012,4,AK,,0.0
101,2012,5,AK,,0.0
102,2012,6,AK,,0.0
103,2012,7,AK,,0.0
104,2012,8,AK,,0.0
105,2012,9,AK,,0.0
106,2012,10,AK,,0.0
107,2012,11,AK,,0.0
108,2012,12,AK,,0.0
109,2013,1,AK,,0.0
110,2013,2,AK,,0.0
111,2013,3,AK,,0.0
112,2013,4,AK,,0.0
113,2013,5,AK,,0.0
114,2013,6,AK,,0.0
115,2013,7,AK,,0.0
116,2013,8,AK,,0.0
117,2013,9,AK,,0.0
118,2013,10,AK,,0.0
119,2013,11,AK,,0.0
120,2013,12,AK,,0.0
121,2014,1,AK,,0.0
122,2014,2,AK,,0.0
123,2014,3,AK,,0.0
124,2014,4,AK,,0.0
125,2014,5,AK,,0.0
126,2014,6,AK,,0.0
127,2014,7,AK,,0.0
128,2014,8,AK,,0.0
129,2014,9,AK,,0.0
130,2014,10,AK,,0.0
131,2014,11,AK,,0.0
132,2014,12,AK,,0.0
133,2015,1,AK,,0.0
134,2015,2,AK,,0.0
135,2015,3,AK,,0.0
136,2015,4,AK,,0.0
